Ta,ble G-5: Effect,of change in a precinct’s p,opulation de,nsity on sup,port fo,r vo,ters’,"veto,"
19,93. Treatment d,ata are winsorized. Contr,ols included,in all model,"s, but",excl,uded,from
tab,le due to space,constraints.,,,,,,
,,,Suppor,t for voters’,"veto, 1",993,,
,,M,odel 1 M,odel 2 M,odel 3,M,odel,4
,Pct. point ∆ in,"new arrivals, 1980-93",0.001,0.001,,,,
,,(,0.002) (,0.002),,,,
,Prop. ∆ in new,"arrivals, 1980-93",,,0.002,,0.00,2
,,,,(,0.002),,(0.00,2)
,Place Fixed Effe,cts,Yes,Yes,Yes,,Yes,
,Controls,,Yes,Yes,Yes,,Yes,
,Time-varying C,ontrols,No,Yes,No,,Yes,
,R2,,0.710,0.729,0.710,,0.72,9
,Adj. R2,,0.698,0.717,0.698,,0.71,7
,Num. obs.,365,1 364,9 365,1,36,49,
,RMSE,,2.758,2.668,2.758,,2.66,7
,N Clusters,14,2 14,2 14,2,1,42,
,∗∗∗p < 0.001; ∗∗p < 0.,01; ∗p < 0.05,,,,,,
