"of new,",nearby LIHTC,on change in,support for hou,sing b
,,Binary,Units Co,ntinuou
LIHTC,Project,0.025∗∗,0.018∗,0.025∗
,,(0.009),(0.008),(0.011)
% Rente,rs,−0.002,−0.022∗∗∗,−0.006
,,(0.010),(0.006),(0.013)
LIHTC,x % Renters,−0.038∗∗,−0.041∗∗∗,−0.041∗
,,(0.013),(0.011),(0.016)
CBSA F,E,Yes,Yes,Yes
LIHTC,SE Clusters,Yes,Yes,Yes
R2,,0.063,0.065,0.064
Adj. R2,,0.055,0.057,0.059
Num. o,bs. 4,038 40,38 61,44
RMSE,,0.516,0.515,0.503
N Clust,ers,763 7,63 8,10
∗∗∗p < 0.0,01; ∗∗p < 0.01; ∗p <,0.05,,
