Craig and Richeson (2014),−0.020,,
,(0.012),,
Wetts and Willer (2018),,0.002,
,,(0.012),
Combined treatment,,,−0.002
,,,(0.012)
Non-white,0.016,0.005,0.016
,(0.013),(0.012),(0.012)
"Housing support, pretreatment",0.761∗∗∗,0.779∗∗∗,0.764∗
,(0.023),(0.020),(0.023)
Income (cont.),−0.001,−0.004,−0.001
,(0.003),(0.002),(0.002)
Female,0.015,0.011,0.016
,(0.012),(0.012),(0.012)
College or more,0.006,−0.029∗,−0.014
,(0.013),(0.012),(0.012)
"Republican (-1, 1)",−0.029∗∗∗,−0.031∗∗∗,−0.038∗
,(0.008),(0.008),(0.008)
Intercept,0.143∗∗∗,0.157∗∗∗,0.146∗
,(0.024),(0.023),(0.023)
R2,0.647,0.699,0.675
Adj. R2,0.644,0.696,0.672
Num. obs. 9,04 9,00 8,95
RMSE,0.187,0.173,0.174
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,
