Treatment,−0.004,−0.006,−0.012,−0.012
,(0.010),(0.010),(0.014),(0.014)
Symbolic racism score,,,−0.229∗∗∗,−0.203∗
,,,(0.034),(0.036)
Treatment x SRS,,,0.020,0.015
,,,(0.036),(0.036)
"Housing support, pretreatment",0.819∗∗∗,0.763∗∗∗,0.732∗∗∗,0.712∗
,(0.013),(0.016),(0.017),(0.018)
Non-white,,0.018∗,,0.011
,,(0.009),,(0.009)
Income (cont.),,−0.001,,−0.002
,,(0.002),,(0.002)
Female,,0.008,,0.004
,,(0.009),,(0.008)
College or more,,−0.004,,−0.008
,,(0.009),,(0.009)
"Republican (-1, 1)",,−0.039∗∗∗,,−0.013∗
,,(0.006),,(0.006)
Intercept,0.098∗∗∗,0.139∗∗∗,0.234∗∗∗,0.262∗
,(0.012),(0.018),(0.020),(0.024)
R2,0.661,0.672,0.687,0.688
Adj. R2,0.661,0.671,0.686,0.686
Num. obs. 18,64 18,29 18,64 18,29
RMSE,0.183,0.180,0.176,0.176
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,
