Treatment,−0.004,−0.002,−0.003,−0.002
,(0.008),(0.008),(0.013),(0.013)
Symbolic racism score,,,−0.123∗∗∗,−0.083∗∗
,,,(0.026),(0.027)
Treatment x SRS,,,−0.003,−0.001
,,,(0.026),(0.027)
"Immigration support, pretreatment",0.852∗∗∗,0.792∗∗∗,0.784∗∗∗,0.762∗∗
,(0.011),(0.015),(0.016),(0.017)
Non-white,,0.008,,0.004
,,(0.008),,(0.008)
Income (cont.),,−0.003∗,,−0.003∗
,,(0.001),,(0.001)
Female (bi.),,0.006,,0.004
,,(0.007),,(0.007)
College or more,,0.014,,0.014
,,(0.008),,(0.008)
"Republican (-1, 1)",,−0.036∗∗∗,,−0.026∗∗
,,(0.005),,(0.005)
Intercept,0.072∗∗∗,0.083∗∗∗,0.146∗∗∗,0.132∗∗
,(0.009),(0.013),(0.016),(0.019)
R2,0.722,0.727,0.731,0.730
Adj. R2,0.722,0.725,0.730,0.728
Num. obs. 18,62 1,827 18,62 1,827
RMSE,0.154,0.153,0.152,0.152
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,
Table C-4: Immigration support,in a national,two-wave panel,"(Study 2, RQ",1).
